level_0	level_1	weight
Arpin	9530068E07Rik	1.0
Arpin	A430005L14Rik	1.0
Arpin	Aamp	1.0
Arpin	Actl6a	1.0
Arpin	Adprh	1.0
Arpin	Alg1	1.0
Arpin	Ap2s1	1.0
Arpin	App	1.0
Arpin	Arf1	1.0
Arpp19	Ahcyl1	1.0
Arpp19	Akap10	1.0
Arpp19	Anapc1	1.0
Arrdc3	1110059G10Rik	1.0
Arrdc3	1810009A15Rik	1.0
Arrdc3	4921524J17Rik	1.0
Arrdc3	9130401M01Rik	1.0
Arrdc3	Acp1	1.0
Arrdc3	Adgre1	1.0
Arrdc3	Aggf1	1.0
Arrdc3	Aldh1a1	1.0
Arrdc3	Ap1ar	1.0
Arrdc3	Arl1	1.0
Arrdc3	Arl6ip1	1.0
Arrdc3	Armcx2	1.0
Arrdc4	Abhd17b	1.0
Arrdc4	Actg1	1.0
Arrdc4	Adam9	1.0
Arrdc4	Alox5ap	1.0
Arrdc4	Arhgap9	1.0
Arrdc4	Arhgdib	1.0
Arrdc4	Arpc1b	1.0
Arrdc4	Arpc5	1.0
Art1	Acad12	1.0
Art1	Acsl1	1.0
Art1	Apbb1	1.0
Art3	Acaa2	1.0
Art3	Acad11	1.0
Art3	Acadvl	1.0
Art3	Aco2	1.0
Art3	Acox1	1.0
Art3	Acss1	1.0
Art3	Alas1	1.0
As3mt	Adk	1.0
Asah1	1110059G10Rik	1.0
Asah1	1810009A15Rik	1.0
Asah1	4921524J17Rik	1.0
Asah1	9130401M01Rik	1.0
Asah1	Acp1	1.0
Asah1	Adgre1	1.0
Asah1	Aggf1	1.0
Asah1	Aldh1a1	1.0
Asah1	Ap1ar	1.0
Asah1	Arl1	1.0
Asah1	Arl6ip1	1.0
Asah1	Armcx2	1.0
Asah1	Arrdc3	1.0
Asb10	Acad12	1.0
Asb10	Acsl1	1.0
Asb10	Apbb1	1.0
Asb10	Art1	1.0
Asb11	Acacb	1.0
Asb15	Acad12	1.0
Asb15	Acsl1	1.0
Asb15	Apbb1	1.0
Asb15	Art1	1.0
Asb15	Asb10	1.0
Asb2	Aldoa	1.0
Asb2	Alpl	1.0
Asb2	Ankrd40	1.0
Asb3	1110059G10Rik	1.0
Asb3	1810009A15Rik	1.0
Asb3	4921524J17Rik	1.0
Asb3	9130401M01Rik	1.0
Asb3	Acp1	1.0
Asb3	Adgre1	1.0
Asb3	Aggf1	1.0
Asb3	Aldh1a1	1.0
Asb3	Ap1ar	1.0
Asb3	Arl1	1.0
Asb3	Arl6ip1	1.0
Asb3	Armcx2	1.0
Asb3	Arrdc3	1.0
Asb3	Asah1	1.0
Asb5	Anln	1.0
Asb5	Ap1g1	1.0
Asb5	Appl1	1.0
Asb5	Arcn1	1.0
Asb8	2310061I04Rik	1.0
Asb8	Acss2	1.0
Asb8	Aldh4a1	1.0
Asb8	Arl2bp	1.0
Ascc1	2610507B11Rik	1.0
Ascc1	Aarsd1	1.0
Ascc1	Acaa1a	1.0
Ascc1	Afg1l	1.0
Ascc1	Aifm2	1.0
Ascc1	Aig1	1.0
Ascc1	Alkbh5	1.0
Ascc1	Alkbh7	1.0
Ascc1	Anks1	1.0
Ascc1	Antxr2	1.0
Ascc1	Aplp2	1.0
Asf1a	Abracl	1.0
Asf1a	Acyp1	1.0
Asna1	Abhd17a	1.0
Asna1	Alg14	1.0
Asna1	Ap2m1	1.0
Asna1	Ap3d1	1.0
Asna1	Arhgap24	1.0
Asnsd1	2310011J03Rik	1.0
Asnsd1	Aasdhppt	1.0
Asnsd1	Abhd13	1.0
Asnsd1	Agpat5	1.0
Asnsd1	Aimp1	1.0
Asnsd1	Ankmy2	1.0
Asnsd1	Ap1s2	1.0
Asnsd1	Armc1	1.0
Asph	Araf	1.0
Aspn	0610009B22Rik	1.0
Aspn	1110032A03Rik	1.0
Aspn	1810030O07Rik	1.0
Aspn	4933434E20Rik	1.0
Aspn	Abraxas2	1.0
Aspn	Acbd5	1.0
Aspn	Adam17	1.0
Aspn	Adcy7	1.0
Aspn	Ankrd49	1.0
Aspn	Anp32a	1.0
Aspn	Arl5a	1.0
Aspn	Armcx3	1.0
Aspscr1	Abr	1.0
Aspscr1	Acta2	1.0
Aspscr1	Ap1m1	1.0
Atad1	1110059G10Rik	1.0
Atad1	1810009A15Rik	1.0
Atad1	4921524J17Rik	1.0
Atad1	9130401M01Rik	1.0
Atad1	Acp1	1.0
Atad1	Adgre1	1.0
Atad1	Aggf1	1.0
Atad1	Aldh1a1	1.0
Atad1	Ap1ar	1.0
Atad1	Arl1	1.0
Atad1	Arl6ip1	1.0
Atad1	Armcx2	1.0
Atad1	Arrdc3	1.0
Atad1	Asah1	1.0
Atad1	Asb3	1.0
Atad2	Akap11	1.0
Atad2	Anp32e	1.0
Atad3a	Akr7a5	1.0
Ate1	4930453N24Rik	1.0
Ate1	Adamts2	1.0
Ate1	Anapc16	1.0
Ate1	Ankle2	1.0
Ate1	Arap1	1.0
Atf2	1110059G10Rik	1.0
Atf2	1810009A15Rik	1.0
Atf2	4921524J17Rik	1.0
Atf2	9130401M01Rik	1.0
Atf2	Acp1	1.0
Atf2	Adgre1	1.0
Atf2	Aggf1	1.0
Atf2	Aldh1a1	1.0
Atf2	Ap1ar	1.0
Atf2	Arl1	1.0
Atf2	Arl6ip1	1.0
Atf2	Armcx2	1.0
Atf2	Arrdc3	1.0
Atf2	Asah1	1.0
Atf2	Asb3	1.0
Atf2	Atad1	1.0
Atf6	Abcb8	1.0
Atf6	Abhd11	1.0
Atf6	Agpat3	1.0
Atf6	Amacr	1.0
Atg101	Ahcy	1.0
Atg101	Aip	1.0
Atg101	Amdhd2	1.0
Atg101	Ap1s1	1.0
Atg101	Apmap	1.0
